url,target_keyword,target_class,keyword_class,tracked_in_151,notes
https://alanranger.com/,alan ranger photography,tracked,brand,Y,homepage clean keep
https://alanranger.com/academy/login,,none_utility,,N,utility/legal — no TradSEO target
https://alanranger.com/academy/upgrade,upgrade,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/batsford-arboretum-photography,batsford arboretum photography,longtail_by_design,,N,page-specific long-tail
https://alanranger.com/beginners-photography-classes,beginning photography lessons,tracked,local-money,Y,Ruling 1 Option 1 (Alan 2026-07-19) — conversion page fed internally by hub/free-course/blog; broad beginners terms accepted onto hub + free course
https://alanranger.com/beginners-portrait-photography-course,portrait photography course,tracked,local-money,Y,Alan-ruled 2026-07-19
https://alanranger.com/blog-on-photography//product-photography-warwickshire,product photography warwickshire,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/7-most-common-camera-exposure-mistakes,7 Most common camera exposure mistakes,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/airbnb-photography-guide,airbnb photography guide,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/autumn-arboretum-photography-uk-guide,autumn arboretum photography,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/best-free-online-photography-courses,best free online photography courses,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/best-way-to-learn-photography-2026,best way to learn photography,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/bird-photography-guide,bird photography guide,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/black-and-white-when-to-convert,convert to black and white,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/building-rps-panel-case-study,Building a Successful RPS Panel,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/corporate-headshot-photography,corporate headshot photography,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/corporate-photography-training-coventry,corporate photography training,longtail_by_design,national-money,Y,backfilled P4 2026-07-19; not LOCKED target_page — P4 rule tightened
https://alanranger.com/blog-on-photography/diy-product-photography,diy product photography,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/etsy-product-photography-rules,etsy product photography,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/food-photography-at-home,food photography,longtail_by_design,local-money,Y,backfilled P4 2026-07-19; not LOCKED target_page — P4 rule tightened
https://alanranger.com/blog-on-photography/food-photography-tips,food photography,longtail_by_design,local-money,Y,backfilled P4 2026-07-19; not LOCKED target_page — P4 rule tightened
https://alanranger.com/blog-on-photography/garden-wildlife-photography-uk-guide,garden wildlife photography,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/headshots-at-home-guide,headshots at home,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/how-photography-and-data-analysis-work,photography and data analysis work,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/how-to-photograph-artwork,how to photograph artwork,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/how-to-photograph-fireworks,how to photograph fireworks,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/how-to-photograph-jewelry,how to photograph jewelry,longtail_by_design,,N,backfilled P4 2026-07-19
https://alanranger.com/blog-on-photography/how-to-photograph-northern-lights,photograph northern lights,longtail_by_design,,N,backfilled P4 2026-07-19
