count,"Landing Pages (Tier A) Should be everything not in other Tiers, B, C, D, E",Product Pages (Tier B) Use Pattern Matching,Event Pages (Tier C) Use Pattern Matching,Blog Pages (Tier D) Use Pattern Matching,Academy Pages (Tier E) Specific URLS,Unmapped Pages (Tier F) Anything not mapped in other tiers
1,/,https://www.alanranger.com/photo-workshops-uk,https://www.alanranger.com/photographic-workshops-near-me,/blogs/,https://www.alanranger.com/free-online-photography-course,
2,https://www.alanranger.com/about-alan-ranger,https://www.alanranger.com/photography-services-near-me,https://www.alanranger.com/beginners-photography-lessons,/blog-page,https://www.alanranger.com/academy/login,
3,https://www.alanranger.com/awards-and-qualifications,https://www.alanranger.com/photography-services-near-me/annual-pick-n-mix-subscription,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-,/s/,https://www.alanranger.com/academy/upgrade,
4,https://www.alanranger.com/batsford-arboretum-photography,https://www.alanranger.com/photography-services-near-me/beginners-photography-course,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-2k99k,https://www.alanranger.com/blog-on-photography,,
5,https://www.alanranger.com/beginners-photography-classes,https://www.alanranger.com/photography-services-near-me/beginners-portrait-photography-course,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-2n74k,https://www.alanranger.com/blog-on-photography/mary-hamilton-rps-distinctions-panel,,
6,https://www.alanranger.com/beginners-portrait-photography-course,https://www.alanranger.com/photography-services-near-me/black-and-white-photography-course,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-2sj27,https://www.alanranger.com/blog-on-photography/best-cameras-for-beginners,,
7,https://www.alanranger.com/bluebell-woods-near-me,https://www.alanranger.com/photography-services-near-me/camera-sensor-clean,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-3yj3h,https://www.alanranger.com/blog-on-photography/tripod-for-headshots-top-picks-amp-reviews-2026,,
8,https://www.alanranger.com/contact-us-alan-ranger-photography,https://www.alanranger.com/photography-services-near-me/camera-settings-photography-field-checklists,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-4pp2p,https://www.alanranger.com/blog-on-photography/delete-duplicate-photos-in-lightroom,,
9,https://www.alanranger.com/copyright-policy-alan-ranger,https://www.alanranger.com/photography-services-near-me/composition-settings-photography-field-checklists,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-7breh,https://www.alanranger.com/blog-on-photography/take-the-on-line-colour-test,,
10,https://www.alanranger.com/corporate-photography-training,https://www.alanranger.com/photography-services-near-me/fine-art-photography-prints-canvas,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-8ar5x,https://www.alanranger.com/blog-on-photography/what-are-leading-lines-in-photography,,
11,https://www.alanranger.com/course-finder-photography-classes-near-me,https://www.alanranger.com/photography-services-near-me/fine-art-photography-prints-unframed,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-8s2ka,https://www.alanranger.com/blog-on-photography/what-do-camera-lens-filters-do,,
12,https://www.alanranger.com/data-privacy-policy,https://www.alanranger.com/photography-services-near-me/foundation-digital-pack-plus,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-bds4t,https://www.alanranger.com/blog-on-photography/what-is-white-balance-in-photography,,
13,https://www.alanranger.com/fine-art-prints,https://www.alanranger.com/photography-services-near-me/four-private-photography-classes,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-be4sb,https://www.alanranger.com/blog-on-photography/what-is-contrast-in-photography,,
14,https://www.alanranger.com/free-photography-tips,https://www.alanranger.com/photography-services-near-me/framed-fine-art-photography-prints,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-dfe,https://www.alanranger.com/blog-on-photography/camera-white-balance-settings,,
15,https://www.alanranger.com/gallery-image-portfolios,https://www.alanranger.com/photography-services-near-me/intermediates-intentions-photography-project-course,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-dg9pz,https://www.alanranger.com/blog-on-photography/art-of-macro-photography,,
16,https://www.alanranger.com/help-portrait-uk-coventry,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-dhecf,https://www.alanranger.com/blog-on-photography/camera-shutter-speed-settings,,
17,https://www.alanranger.com/help-site-map,https://www.alanranger.com/photography-services-near-me/monthly-online-photography-mentoring,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-hl4tm,https://www.alanranger.com/blog-on-photography/camera-metering-settings,,
18,https://www.alanranger.com/hire-a-professional-photographer-in-coventry,https://www.alanranger.com/photography-services-near-me/monthly-pick-n-mix-subscription,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-hnp3g,https://www.alanranger.com/blog-on-photography/camera-manual-exposure-settings,,
19,https://www.alanranger.com/home,https://www.alanranger.com/photography-services-near-me/photography-35bundle-photography-field-checklists,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-mw83l,https://www.alanranger.com/blog-on-photography/jpg-vs-raw-settings,,
20,https://www.alanranger.com/intentions-course-six-month-photography-project,https://www.alanranger.com/photography-services-near-me/photography-foundation-course-ebook,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-nhjlm,https://www.alanranger.com/blog-on-photography/iso-camera-settings,,
21,https://www.alanranger.com/jaguar-land-rover-els,https://www.alanranger.com/photography-services-near-me/photography-gift-vouchers,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-nzwzx,https://www.alanranger.com/blog-on-photography/finding-your-compositional-balance,,
22,https://www.alanranger.com/landscape-photography-workshops,https://www.alanranger.com/photography-services-near-me/photo-print-preparation-service-30min,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-oct1,https://www.alanranger.com/blog-on-photography/full-frame-or-crop-sensor,,
23,https://www.alanranger.com/my-ethical-policy,https://www.alanranger.com/photography-services-near-me/private-online-photography-classes-zoom,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-oct2,https://www.alanranger.com/blog-on-photography/camera-focus-plane,,
24,https://www.alanranger.com/newsletter-signup-form,https://www.alanranger.com/photography-services-near-me/quarterly-pick-n-mix-subscription,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-oct3,https://www.alanranger.com/blog-on-photography/lens-focal-length,,
25,https://www.alanranger.com/one-day-landscape-photography-workshops,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-s2klg,https://www.alanranger.com/blog-on-photography/camera-exposure-checklist,,
26,https://www.alanranger.com/outdoor-photography-exposure-calculator,https://www.alanranger.com/photo-workshops-uk/abstract-and-macro-photography-workshops,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-w5nkt,https://www.alanranger.com/blog-on-photography/exposure-bracketing-checklist,,
27,https://www.alanranger.com/photo-editing-course-coventry,https://www.alanranger.com/photo-workshops-uk/batsford-arboretum-photography-workshops,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-wc34j,https://www.alanranger.com/blog-on-photography/camera-dynamic-range,,
28,https://www.alanranger.com/photography-courses-coventry,https://www.alanranger.com/photo-workshops-uk/bluebell-woodlands-photography-workshops,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-wk1,https://www.alanranger.com/blog-on-photography/camera-drive-modes-checklist,,
29,https://www.alanranger.com/photography-equipment-recommendations,https://www.alanranger.com/photo-workshops-uk/christmas-photography-workshops,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe,https://www.alanranger.com/blog-on-photography/depth-of-field-checklist,,
30,https://www.alanranger.com/photography-gift-vouchers,https://www.alanranger.com/photo-workshops-uk/coastal-northumberland-photography-workshops,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-week-1,https://www.alanranger.com/blog-on-photography/what-is-dynamic-range-in-photography,,
31,https://www.alanranger.com/photography-lessons-online-121,https://www.alanranger.com/photo-workshops-uk/dartmoor-photography-landscape-workshop,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-week-3,https://www.alanranger.com/blog-on-photography/aperture-field-checklist,,
32,https://www.alanranger.com/photography-masterclasses-online,https://www.alanranger.com/photo-workshops-uk/dorset-landscape-photography-workshop,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-wk2,https://www.alanranger.com/blog-on-photography/what-is-focal-length-in-photography,,
33,https://www.alanranger.com/photography-mentoring-online-assignments,https://www.alanranger.com/photo-workshops-uk/exmoor-photography-workshops-lynmouth,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1,https://www.alanranger.com/blog-on-photography/street-photography-guide,,
34,https://www.alanranger.com/photography-news-blog,https://www.alanranger.com/photo-workshops-uk/fireworks-photography-workshop-kenilworth,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-kdh5k,https://www.alanranger.com/blog-on-photography/still-life-photography-guide,,
35,https://www.alanranger.com/photography-payment-plan,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-rrkhn,https://www.alanranger.com/blog-on-photography/product-photography-guide,,
36,https://www.alanranger.com/photography-presents-for-photographers,https://www.alanranger.com/photo-workshops-uk/ireland-photography-workshops-dingle,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-xx94r,https://www.alanranger.com/blog-on-photography/portrait-photography-guide,,
37,https://www.alanranger.com/photography-shop-services,https://www.alanranger.com/photo-workshops-uk/lake-district-photography-workshop,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk2,https://www.alanranger.com/blog-on-photography/minimalist-photography-guide,,
38,https://www.alanranger.com/photography-special-offers,https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk2-55f3d,https://www.alanranger.com/blog-on-photography/what-is-portrait-photography,,
