booking_category,event_text,canonical_product,confidence,note
1. Courses/masterclasses,5wk Beginners,5 Week Beginners Photography Course (RETIRED format),HIGH,
1. Courses/masterclasses,5wk Beginners Course,5 Week Beginners Photography Course (RETIRED format),HIGH,
1. Courses/masterclasses,Beginners Course,5 Week Beginners Photography Course (RETIRED format),HIGH,
1. Courses/masterclasses,Beginners Camera,5 Week Beginners Photography Course (RETIRED format),HIGH,
1. Courses/masterclasses,3wk Camera Course,5 Week Beginners Photography Course (RETIRED format),HIGH,
1. Courses/masterclasses,Camera Course Nov,5 Week Beginners Photography Course (RETIRED format),HIGH,
1. Courses/masterclasses,Camera Course,Beginners Photography Course | 3 Weekly Evening Classes,HIGH,
1. Courses/masterclasses,Camera Courses For Beginners,Beginners Photography Course | 3 Weekly Evening Classes,HIGH,
1. Courses/masterclasses,Get Off Auto,Get Off Auto Beginners Class (RETIRED),HIGH,
1. Courses/masterclasses,LR Course,Lightroom Courses for Beginners Photo Editing - Coventry,HIGH,
1. Courses/masterclasses,Lightoom,Lightroom Courses for Beginners Photo Editing - Coventry,HIGH,
1. Courses/masterclasses,Lightroom Course,Lightroom Courses for Beginners Photo Editing - Coventry,HIGH,
1. Courses/masterclasses,Photo Editing Classes - Lightroom Classic,Lightroom Courses for Beginners Photo Editing - Coventry,HIGH,
1. Courses/masterclasses,RPS,RPS Mentoring Course (historical),HIGH,
1. Courses/masterclasses,RPS Course,RPS Mentoring Course (historical),HIGH,
1. Courses/masterclasses,RPS Ext Course,RPS Mentoring Course (historical),HIGH,
1. Courses/masterclasses,Photography Mentoring for Qualification,RPS Mentoring Course (historical),HIGH,
1. Courses/masterclasses,6 x 1hr Zooms,1-2-1 Package - 4 x 1hr Zoom,HIGH,user: online 1-2-1 Zoom
2. Workshops Non Residenti,Woodland Photography Walk,Woodland Photography Walk - Warwickshire (half-day low-cost),HIGH,
2. Workshops Non Residenti,Woodland Walk,Woodland Photography Walk - Warwickshire (half-day low-cost),HIGH,
2. Workshops Non Residenti,Woodland Walks,Woodland Photography Walk - Warwickshire (half-day low-cost),HIGH,
2. Workshops Non Residenti,Hay Wood,Woodland Photography Walk - Warwickshire (half-day low-cost),HIGH,
2. Workshops Non Residenti,Hay Woods,Woodland Photography Walk - Warwickshire (half-day low-cost),HIGH,
2. Workshops Non Residenti,Woodland Masterclass,"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",HIGH,
2. Workshops Non Residenti,Woodland masterclass,"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",HIGH,
2. Workshops Non Residenti,Woodlands Masterclass,"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",HIGH,
2. Workshops Non Residenti,woodland Masterclass,"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",HIGH,
2. Workshops Non Residenti,Secrets of Woodlands,"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",HIGH,
2. Workshops Non Residenti,The Secrets of Woodland Photography - 1-Day,"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",HIGH,
2. Workshops Non Residenti,Batsford,BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct,HIGH,
2. Workshops Non Residenti,Batsford & Chesterton,BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct,HIGH,
2. Workshops Non Residenti,Batsford 24 Oct,BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct,HIGH,
2. Workshops Non Residenti,Batsford 29 oct,BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct,HIGH,
